name,description,price,sale_price,quantity,category,sku,images,sizes,colors,is_featured,is_active,sale_active,sale_start_date,sale_end_date,slug,collection
Midnight Ritual Slit Dress,"Midnight Ritual Slit Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 17 product views for front, side, back, and detail review before enquiry confirmation.",1899,0,120,shakti,SS-FINAL-001,"[""/final-products/go01/go01-01.webp"", ""/final-products/go01/go01-02.webp"", ""/final-products/go01/go01-03.webp"", ""/final-products/go01/go01-04.webp"", ""/final-products/go01/go01-05.webp"", ""/final-products/go01/go01-06.webp"", ""/final-products/go01/go01-07.webp"", ""/final-products/go01/go01-08.webp"", ""/final-products/go01/go01-09.webp"", ""/final-products/go01/go01-10.webp"", ""/final-products/go01/go01-11.webp"", ""/final-products/go01/go01-12.webp"", ""/final-products/go01/go01-13.webp"", ""/final-products/go01/go01-14.webp"", ""/final-products/go01/go01-15.webp"", ""/final-products/go01/go01-16.webp"", ""/final-products/go01/go01-17.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-01,Final Products
Ivory Nomad Fringe Vest,"Ivory Nomad Fringe Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 7 product views for front, side, back, and detail review before enquiry confirmation.",1299,0,120,shakti,SS-FINAL-002,"[""/final-products/go02/go02-01.webp"", ""/final-products/go02/go02-02.webp"", ""/final-products/go02/go02-03.webp"", ""/final-products/go02/go02-04.webp"", ""/final-products/go02/go02-05.webp"", ""/final-products/go02/go02-06.webp"", ""/final-products/go02/go02-07.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-02,Final Products
Obsidian Temple Mini Set,"Obsidian Temple Mini Set from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",1599,0,120,shakti,SS-FINAL-003,"[""/final-products/go03/go03-01.webp"", ""/final-products/go03/go03-02.webp"", ""/final-products/go03/go03-03.webp"", ""/final-products/go03/go03-04.webp"", ""/final-products/go03/go03-05.webp"", ""/final-products/go03/go03-06.webp"", ""/final-products/go03/go03-07.webp"", ""/final-products/go03/go03-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-03,Final Products
Handloom Mesh Overlay Dress,"Handloom Mesh Overlay Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",1799,0,120,shakti,SS-FINAL-004,"[""/final-products/go04/go04-01.webp"", ""/final-products/go04/go04-02.webp"", ""/final-products/go04/go04-03.webp"", ""/final-products/go04/go04-04.webp"", ""/final-products/go04/go04-05.webp"", ""/final-products/go04/go04-06.webp"", ""/final-products/go04/go04-07.webp"", ""/final-products/go04/go04-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-04,Final Products
Void Black Studio Wrap,"Void Black Studio Wrap from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 7 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-005,"[""/final-products/go05/go05-01.webp"", ""/final-products/go05/go05-02.webp"", ""/final-products/go05/go05-03.webp"", ""/final-products/go05/go05-04.webp"", ""/final-products/go05/go05-05.webp"", ""/final-products/go05/go05-06.webp"", ""/final-products/go05/go05-07.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-05,Final Products
Bohemian Layered Vest,"Bohemian Layered Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1399,0,120,shakti,SS-FINAL-006,"[""/final-products/go06/go06-01.webp"", ""/final-products/go06/go06-02.webp"", ""/final-products/go06/go06-03.webp"", ""/final-products/go06/go06-04.webp"", ""/final-products/go06/go06-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-06,Final Products
Ritual Panelled Long Dress,"Ritual Panelled Long Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1999,0,120,shakti,SS-FINAL-007,"[""/final-products/go07/go07-01.webp"", ""/final-products/go07/go07-02.webp"", ""/final-products/go07/go07-03.webp"", ""/final-products/go07/go07-04.webp"", ""/final-products/go07/go07-05.webp"", ""/final-products/go07/go07-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-07,Final Products
Ivory Texture Crop Overlay,"Ivory Texture Crop Overlay from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1199,0,120,shakti,SS-FINAL-008,"[""/final-products/go08/go08-01.webp"", ""/final-products/go08/go08-02.webp"", ""/final-products/go08/go08-03.webp"", ""/final-products/go08/go08-04.webp"", ""/final-products/go08/go08-05.webp"", ""/final-products/go08/go08-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",True,True,False,,,shiv-shakti-final-style-08,Final Products
Shadow Line Festival Dress,"Shadow Line Festival Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",1699,0,120,shakti,SS-FINAL-009,"[""/final-products/go09/go09-01.webp"", ""/final-products/go09/go09-02.webp"", ""/final-products/go09/go09-03.webp"", ""/final-products/go09/go09-04.webp"", ""/final-products/go09/go09-05.webp"", ""/final-products/go09/go09-06.webp"", ""/final-products/go09/go09-07.webp"", ""/final-products/go09/go09-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-09,Final Products
Nomad Side-Slit Tunic,"Nomad Side-Slit Tunic from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 7 product views for front, side, back, and detail review before enquiry confirmation.",1599,0,120,shakti,SS-FINAL-010,"[""/final-products/go10/go10-01.webp"", ""/final-products/go10/go10-02.webp"", ""/final-products/go10/go10-03.webp"", ""/final-products/go10/go10-04.webp"", ""/final-products/go10/go10-05.webp"", ""/final-products/go10/go10-06.webp"", ""/final-products/go10/go10-07.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-10,Final Products
Temple Fringe Short Dress,"Temple Fringe Short Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1299,0,120,shakti,SS-FINAL-011,"[""/final-products/go11/go11-01.webp"", ""/final-products/go11/go11-02.webp"", ""/final-products/go11/go11-03.webp"", ""/final-products/go11/go11-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-11,Final Products
Desert Mesh Layered Vest,"Desert Mesh Layered Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1399,0,120,shakti,SS-FINAL-012,"[""/final-products/go12/go12-01.webp"", ""/final-products/go12/go12-02.webp"", ""/final-products/go12/go12-03.webp"", ""/final-products/go12/go12-04.webp"", ""/final-products/go12/go12-05.webp"", ""/final-products/go12/go12-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-12,Final Products
Obsidian Cutwork Kaftan,"Obsidian Cutwork Kaftan from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 7 product views for front, side, back, and detail review before enquiry confirmation.",2199,0,120,shakti,SS-FINAL-013,"[""/final-products/go13/go13-01.webp"", ""/final-products/go13/go13-02.webp"", ""/final-products/go13/go13-03.webp"", ""/final-products/go13/go13-04.webp"", ""/final-products/go13/go13-05.webp"", ""/final-products/go13/go13-06.webp"", ""/final-products/go13/go13-07.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-13,Final Products
Ivory Artisan Open Vest,"Ivory Artisan Open Vest from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 8 product views for front, side, back, and detail review before enquiry confirmation.",1499,0,120,shakti,SS-FINAL-014,"[""/final-products/go14/go14-01.webp"", ""/final-products/go14/go14-02.webp"", ""/final-products/go14/go14-03.webp"", ""/final-products/go14/go14-04.webp"", ""/final-products/go14/go14-05.webp"", ""/final-products/go14/go14-06.webp"", ""/final-products/go14/go14-07.webp"", ""/final-products/go14/go14-08.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-14,Final Products
Black Heritage Panel Dress,"Black Heritage Panel Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 6 product views for front, side, back, and detail review before enquiry confirmation.",1899,0,120,shakti,SS-FINAL-015,"[""/final-products/go15/go15-01.webp"", ""/final-products/go15/go15-02.webp"", ""/final-products/go15/go15-03.webp"", ""/final-products/go15/go15-04.webp"", ""/final-products/go15/go15-05.webp"", ""/final-products/go15/go15-06.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-15,Final Products
Shakti Mesh Statement Top,"Shakti Mesh Statement Top from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 4 product views for front, side, back, and detail review before enquiry confirmation.",1099,0,120,shakti,SS-FINAL-016,"[""/final-products/go16/go16-01.webp"", ""/final-products/go16/go16-02.webp"", ""/final-products/go16/go16-03.webp"", ""/final-products/go16/go16-04.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-16,Final Products
Ritual Fringe Layer Dress,"Ritual Fringe Layer Dress from the Shiv Shakti final product edit. A premium boutique apparel style presented with clean studio imagery for wholesale buyers, balancing ritual-inspired detailing, easy resort styling, and statement layering. Includes 5 product views for front, side, back, and detail review before enquiry confirmation.",1799,0,120,shakti,SS-FINAL-017,"[""/final-products/go17/go17-01.webp"", ""/final-products/go17/go17-02.webp"", ""/final-products/go17/go17-03.webp"", ""/final-products/go17/go17-04.webp"", ""/final-products/go17/go17-05.webp""]","[""XS"", ""S"", ""M"", ""L"", ""XL"", ""Custom""]","[""Void Black"", ""Ivory"", ""Natural"", ""Mixed""]",False,True,False,,,shiv-shakti-final-style-17,Final Products
